0	0x0000	Ericsson Technology Licensing
1	0x0001	Nokia Mobile Phones
2	0x0002	Intel Corp.
3	0x0003	IBM Corp.
4	0x0004	Toshiba Corp.
5	0x0005	3Com
6	0x0006	Microsoft
7	0x0007	Lucent
8	0x0008	Motorola
9	0x0009	Infineon Technologies AG
10	0x000A	Cambridge Silicon Radio
11	0x000B	Silicon Wave
12	0x000C	Digianswer A/S
13	0x000D	Texas Instruments Inc.
14	0x000E	Ceva, Inc. (formerly Parthus Technologies, Inc.)
15	0x000F	Broadcom Corporation
16	0x0010	Mitel Semiconductor
17	0x0011	Widcomm, Inc
18	0x0012	Zeevo, Inc.
19	0x0013	Atmel Corporation
20	0x0014	Mitsubishi Electric Corporation
21	0x0015	RTX Telecom A/S
22	0x0016	KC Technology Inc.
23	0x0017	NewLogic
24	0x0018	Transilica, Inc.
25	0x0019	Rohde & Schwarz GmbH & Co. KG
26	0x001A	TTPCom Limited
27	0x001B	Signia Technologies, Inc.
28	0x001C	Conexant Systems Inc.
29	0x001D	Qualcomm
30	0x001E	Inventel
31	0x001F	AVM Berlin
32	0x0020	BandSpeed, Inc.
33	0x0021	Mansella Ltd
34	0x0022	NEC Corporation
35	0x0023	WavePlus Technology Co., Ltd.
36	0x0024	Alcatel
37	0x0025	NXP Semiconductors (formerly Philips Semiconductors)
38	0x0026	C Technologies
39	0x0027	Open Interface
40	0x0028	R F Micro Devices
41	0x0029	Hitachi Ltd
42	0x002A	Symbol Technologies, Inc.
43	0x002B	Tenovis
44	0x002C	Macronix International Co. Ltd.
45	0x002D	GCT Semiconductor
46	0x002E	Norwood Systems
47	0x002F	MewTel Technology Inc.
48	0x0030	ST Microelectronics
49	0x0031	Synopsis
50	0x0032	Red-M (Communications) Ltd
51	0x0033	Commil Ltd
52	0x0034	Computer Access Technology Corporation (CATC)
53	0x0035	Eclipse (HQ Espana) S.L.
54	0x0036	Renesas Electronics Corporation
55	0x0037	Mobilian Corporation
56	0x0038	Terax
57	0x0039	Integrated System Solution Corp.
58	0x003A	Matsushita Electric Industrial Co., Ltd.
59	0x003B	Gennum Corporation
60	0x003C	BlackBerry Limited (formerly Research In Motion)
61	0x003D	IPextreme, Inc.
62	0x003E	Systems and Chips, Inc.
63	0x003F	Bluetooth SIG, Inc.
64	0x0040	Seiko Epson Corporation
65	0x0041	Integrated Silicon Solution Taiwan, Inc.
66	0x0042	CONWISE Technology Corporation Ltd
67	0x0043	PARROT SA
68	0x0044	Socket Mobile
69	0x0045	Atheros Communications, Inc.
70	0x0046	MediaTek, Inc.
71	0x0047	Bluegiga
72	0x0048	Marvell Technology Group Ltd.
73	0x0049	3DSP Corporation
74	0x004A	Accel Semiconductor Ltd.
75	0x004B	Continental Automotive Systems
76	0x004C	Apple, Inc.
77	0x004D	Staccato Communications, Inc.
78	0x004E	Avago Technologies
79	0x004F	APT Licensing Ltd.
80	0x0050	SiRF Technology
81	0x0051	Tzero Technologies, Inc.
82	0x0052	J&M Corporation
83	0x0053	Free2move AB
84	0x0054	3DiJoy Corporation
85	0x0055	Plantronics, Inc.
86	0x0056	Sony Ericsson Mobile Communications
87	0x0057	Harman International Industries, Inc.
88	0x0058	Vizio, Inc.
89	0x0059	Nordic Semiconductor ASA
90	0x005A	EM Microelectronic-Marin SA
91	0x005B	Ralink Technology Corporation
92	0x005C	Belkin International, Inc.
93	0x005D	Realtek Semiconductor Corporation
94	0x005E	Stonestreet One, LLC
95	0x005F	Wicentric, Inc.
96	0x0060	RivieraWaves S.A.S
97	0x0061	RDA Microelectronics
98	0x0062	Gibson Guitars
99	0x0063	MiCommand Inc.
100	0x0064	Band XI International, LLC
101	0x0065	Hewlett-Packard Company
102	0x0066	9Solutions Oy
103	0x0067	GN Netcom A/S
104	0x0068	General Motors
105	0x0069	A&D Engineering, Inc.
106	0x006A	MindTree Ltd.
107	0x006B	Polar Electro OY
108	0x006C	Beautiful Enterprise Co., Ltd.
109	0x006D	BriarTek, Inc.
110	0x006E	Summit Data Communications, Inc.
111	0x006F	Sound ID
112	0x0070	Monster, LLC
113	0x0071	connectBlue AB
114	0x0072	ShangHai Super Smart Electronics Co. Ltd.
115	0x0073	Group Sense Ltd.
116	0x0074	Zomm, LLC
117	0x0075	Samsung Electronics Co. Ltd.
118	0x0076	Creative Technology Ltd.
119	0x0077	Laird Technologies
120	0x0078	Nike, Inc.
121	0x0079	lesswire AG
122	0x007A	MStar Semiconductor, Inc.
123	0x007B	Hanlynn Technologies
124	0x007C	A & R Cambridge
125	0x007D	Seers Technology Co. Ltd
126	0x007E	Sports Tracking Technologies Ltd.
127	0x007F	Autonet Mobile
128	0x0080	DeLorme Publishing Company, Inc.
129	0x0081	WuXi Vimicro
130	0x0082	Sennheiser Communications A/S
131	0x0083	TimeKeeping Systems, Inc.
132	0x0084	Ludus Helsinki Ltd.
133	0x0085	BlueRadios, Inc.
134	0x0086	equinox AG
135	0x0087	Garmin International, Inc.
136	0x0088	Ecotest
137	0x0089	GN ReSound A/S
138	0x008A	Jawbone
139	0x008B	Topcorn Positioning Systems, LLC
140	0x008C	Gimbal Inc. (formerly Qualcomm Labs, Inc. and Qualcomm Retail Solutions, Inc.)​​
141	0x008D	Zscan Software
142	0x008E	Quintic Corp.
143	0x008F	Stollman E+V GmbH
144	0x0090	Funai Electric Co., Ltd.
145	0x0091	Advanced PANMOBIL Systems GmbH & Co. KG
146	0x0092	ThinkOptics, Inc.
147	0x0093	Universal Electronics, Inc.
148	0x0094	Airoha Technology Corp.
149	0x0095	NEC Lighting, Ltd.
150	0x0096	ODM Technology, Inc.
151	0x0097	ConnecteDevice Ltd.
152	0x0098	zer01.tv GmbH
153	0x0099	i.Tech Dynamic Global Distribution Ltd.
154	0x009A	Alpwise
155	0x009B	Jiangsu Toppower Automotive Electronics Co., Ltd.
156	0x009C	Colorfy, Inc.
157	0x009D	Geoforce Inc.
158	0x009E	Bose Corporation
159	0x009F	Suunto Oy
160	0x00A0	Kensington Computer Products Group
161	0x00A1	SR-Medizinelektronik
162	0x00A2	Vertu Corporation Limited
163	0x00A3	Meta Watch Ltd.
164	0x00A4	LINAK A/S
165	0x00A5	OTL Dynamics LLC
166	0x00A6	Panda Ocean Inc.
167	0x00A7	Visteon Corporation
168	0x00A8	ARP Devices Limited
169	0x00A9	Magneti Marelli S.p.A
170	0x00AA	CAEN RFID srl
171	0x00AB	Ingenieur-Systemgruppe Zahn GmbH
172	0x00AC	Green Throttle Games
173	0x00AD	Peter Systemtechnik GmbH
174	0x00AE	Omegawave Oy
175	0x00AF	Cinetix
176	0x00B0	Passif Semiconductor Corp
177	0x00B1	Saris Cycling Group, Inc
178	0x00B2	​Bekey A/S
179	​0x00B3	​Clarinox Technologies Pty. Ltd.
180	​​0x00B4	​BDE Technology Co., Ltd.
181	​​0x00B5	Swirl Networks
182	​​0x00B6	​Meso international
183	​​0x00B7	​TreLab Ltd
184	​​0x00B8	​Qualcomm Innovation Center, Inc. (QuIC)
185	​​0x00B9	​​Johnson Controls, Inc.
186	0x00BA	​Starkey Laboratories Inc.
187	​​0x00BB	​​S-Power Electronics Limited
188	​​0x00BC	​​Ace Sensor Inc
189	​​0x00BD	​​Aplix Corporation
190	​​0x00BE	​​AAMP of America
191	​​0x00BF	​​Stalmart Technology Limited
192	​​0x00C0	​​AMICCOM Electronics Corporation
193	​​0x00C1	​​Shenzhen Excelsecu Data Technology Co.,Ltd
194	​​0x00C2	​​Geneq Inc.
195	​​0x00C3	​​adidas AG
196	​​0x00C4	​​LG Electronics​
​197	​0x00C5	​Onset Computer Corporation
​198	​0x00C6	​Selfly BV
​199	​0x00C7	​Quuppa Oy.
​200	​0x00C8	GeLo Inc
​201	​0x00C9	Evluma
​202	​0x00​CA	MC10
​203	​0x00​CB	Binauric SE
​204	​0x00​CC	Beats Electronics
​205	​0x00​CD	Microchip Technology Inc.
​206	​0x00​CE	Elgato Systems GmbH
​207	​0x00​CF	ARCHOS SA
​208	​0x00​D0	Dexcom, Inc.
​209	​0x00​D1	Polar Electro Europe B.V.
​210	​0x00​D2	Dialog Semiconductor B.V.
​211	​0x00​D3	Taixingbang Technology (HK) Co,. LTD.
​212	​0x00​D4	Kawantech
​213	​0x00​D5	Austco Communication Systems
​214	​0x00​D6	Timex Group USA, Inc.
​215	​0x00​D7	Qualcomm Technologies, Inc.
​216	​0x00​D8	Qualcomm Connected Experiences, Inc.
​217	​0x00​D9	Voyetra Turtle Beach
​218	​0x00​DA	txtr GmbH
​219	​0x00​DB	Biosentronics
​220	​0x00​DC	Procter & Gamble
​221	​0x00​DD	Hosiden Corporation
​222	​0x00​DE	Muzik LLC
​223	​0x00​DF	Misfit Wearables Corp
​224	​0x00​E0	Google
​225	​0x00​E1	Danlers Ltd
​226	​0x00​E2	Semilink Inc
​227	​0x00​E3	inMusic Brands, Inc
​228	​0x00​E4	L.S. Research Inc.
​229	​0x00​E5	Eden Software Consultants Ltd.
​230	​0x00​E6	Freshtemp
​231	​0x00E7	​KS Technologies
​232	​0x00E8	​ACTS Technologies
​233	​0x00E9	​Vtrack Systems
​234	​0x00EA	​Nielsen-Kellerman Company
​235	​0x00EB	​Server Technology, Inc.
​236	​0x00EC	​BioResearch Associates
​237	​0x00ED	​Jolly Logic, LLC
​238	​0x00EE	​Above Average Outcomes, Inc.
​239	​0x00EF	​Bitsplitters GmbH
​240	​0x00F0	​PayPal, Inc.
​241	​0x00F1	​Witron Technology Limited
​242	​0x00F2	​Aether Things Inc. (formerly Morse Project Inc.)
​243	​0x00F3	​Kent Displays Inc.
​244	​0x00F4	Nautilus Inc​.
​245	​0x00F5	​Smartifier Oy
​246	​0x00F6	​Elcometer Limited
​247	​0x00F7	​VSN Technologies Inc.
​248	​0x00F8	​AceUni Corp., Ltd.
​249	​0x00F9	​StickNFind
​250	​0x00FA	​Crystal Code AB
​251	​0x00FB	​KOUKAAM a.s.
​252	​0x00FC	Delphi Corporation
​253	​0x00FD	​ValenceTech Limited
​254	​0x00FE	Reserved
​255	​0x00FF	​Typo Products, LLC
​256	​0x0100	​TomTom International BV
​257	​0x0101	​Fugoo, Inc
​258	​0x0102	​Keiser Corporation
​259	​0x0103	​Bang & Olufsen A/S
​260	​0x0104	​PLUS Locations Systems Pty Ltd
​261	​0x0105	​Ubiquitous Computing Technology Corporation
​262	​0x0106	​Innovative Yachtter Solutions
​263	​0x0107	​William Demant Holding A/S
​264	​0x0108	​Chicony Electronics Co., Ltd.
​265	​0x0109	​Atus BV
​266	​0x010A	​Codegate Ltd.
​267	​0x010B	ERi, Inc.
​268	​0x010C	​Transducers Direct, LLC
​269	​0x010D	​Fujitsu Ten Limited
​270	​0x010E	​Audi AG
​271	​0x010F	​HiSilicon Technologies Co., Ltd.
​272	​0x0110	​Nippon Seiki Co., Ltd.
​273	​0x0111	​Steelseries ApS
​274	​0x0112	​vyzybl Inc.
​275	​0x0113	​Openbrain Technologies, Co., Ltd.
​276	​0x0114	​Xensr
​277	​0x0115	e.solutions
​278	​0x0116	​1OAK Technologies
​279	​0x0117	​Wimoto Technologies Inc
